VOLTAGE,CURRENT,PF,PowerConsumption_Zone1,WEEKEND/WEEKDAY,SEASON,Temp_(F),Humidity_(%),Datetime,hour,day,month,dayofweek,quarter,is_weekend,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,power_roll_mean_24,power_roll_std_24,power_roll_max_24,power_roll_min_24,power_lag_1,power_lag_24,power_lag_168,power_diff_1,power_diff_24,LSTM_Prediction,Actual_Power
11.5,114,0.96,2179.889864,0,0,87,49,2021-10-21 10:00:00,10,21,10,3,4,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1600.6990025708335,406.9913541360623,2179.889864,913.5459497,2085.112044,1780.243389,3889.382442,94.77782000000025,399.64647500000024,1998.9095,2179.889864
11.5,114,0.96,2179.889864,0,0,87,49,2021-10-21 11:00:00,11,21,10,3,4,0,0.258819045102521,-0.9659258262890682,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1612.8095018208335,420.0648274123074,2179.889864,913.5459497,2179.889864,1889.237882,3889.382442,0.0,290.6519820000003,2037.0942,2179.889864
11.5,114,0.96,2179.889864,0,0,79,78,2021-10-21 12:00:00,12,21,10,3,4,0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1621.8923762375,430.1763007605118,2179.889864,913.5459497,2179.889864,1961.900878,3958.22107,0.0,217.9889860000003,2030.3917,2179.889864
11.5,114,0.96,2179.889864,0,0,79,78,2021-10-21 13:00:00,13,21,10,3,4,0,-0.2588190451025208,-0.9659258262890683,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1630.9752506541665,439.8598290771231,2179.889864,913.5459497,2179.889864,1961.900878,3799.759205,0.0,217.9889860000003,1991.9796,2179.889864
11.4,121,0.96,2293.623249,0,0,79,78,2021-10-21 14:00:00,14,21,10,3,4,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1644.7970161125002,455.6394933874542,2293.623249,913.5459497,2179.889864,1961.900878,3633.149774,113.733385,331.7223710000003,1927.578,2293.623249
11.4,124,0.96,2350.489941,0,0,75,87,2021-10-21 15:00:00,15,21,10,3,4,0,-0.7071067811865471,-0.7071067811865479,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1666.3795239041667,476.6986160877677,2350.489941,913.5459497,2293.623249,1832.509754,3575.784251,56.8666919999996,517.9801869999999,1936.4231,2350.489941
11.5,114,0.96,2179.889864,0,0,75,87,2021-10-21 16:00:00,16,21,10,3,4,0,-0.8660254037844385,-0.5000000000000004,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1674.7984455291664,484.1641357187263,2350.489941,913.5459497,2350.489941,1977.835745,3441.931365,-170.6000769999996,202.05411900000013,1874.7115,2179.889864
11.4,115,0.96,2179.889864,0,0,75,87,2021-10-21 17:00:00,17,21,10,3,4,0,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1677.8260703208334,487.20346346025286,2350.489941,913.5459497,2179.889864,2107.226869,3060.824762,0.0,72.66299500000014,1499.9994,2179.889864
11.6,61,0.96,1176.575185,0,0,76,93,2021-10-21 18:00:00,18,21,10,3,4,0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1676.7879945291668,488.2878484374149,2350.489941,913.5459497,2179.889864,1201.489004,1185.554137,-1003.3146790000003,-24.913819000000103,1268.639,1176.5751849999997
11.6,61,0.96,1176.575185,0,0,76,93,2021-10-21 19:00:00,19,21,10,3,4,0,-0.9659258262890684,0.2588190451025203,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1676.8719989874999,488.1978540592249,2350.489941,913.5459497,1176.575185,1174.559078,1185.554137,0.0,2.01610699999992,1006.4349,1176.5751849999997
